game,bat,name,pos,team
3,1,張建銘,RF,EDA
3,2,胡金龍,DH,EDA
3,3,高國輝,LF,EDA
3,4,林益全,1B,EDA
3,5,鄭達鴻,C,EDA
3,6,林旺衛,CF,EDA
3,7,林威廷,2B,EDA
3,8,方玄宗,3B,EDA
3,8,吳宗峻,|(PH),EDA
3,8,陳凱倫,|(3B),EDA
3,9,林瑋恩,SS,EDA
4,1,張建銘,RF,EDA
4,2,胡金龍,DH,EDA
4,3,高國輝,LF,EDA
4,4,林益全,1B,EDA
4,5,鄭達鴻,C,EDA
4,6,林威廷,2B,EDA
4,7,林旺衛,CF,EDA
4,8,陳凱倫,3B,EDA
4,8,陽冠威,|(PH)|(3B),EDA
4,9,林瑋恩,SS,EDA
4,9,鄭兆行,|(PH),EDA
4,9,藍少白,|(SS),EDA
6,1,張建銘,RF,EDA
6,2,胡金龍,DH,EDA
6,3,高國輝,LF,EDA
6,4,林益全,1B,EDA
6,5,鄭達鴻,C,EDA
6,6,林旺衛,CF,EDA
6,7,林威廷,2B,EDA
6,8,方玄宗,3B,EDA
6,9,林瑋恩,SS,EDA
6,9,藍少白,|(PH)|(SS),EDA
8,1,張建銘,RF,EDA
8,2,胡金龍,LF,EDA
8,3,高國輝,DH,EDA
8,4,林益全,1B,EDA
8,5,鄭達鴻,C,EDA
8,6,林旺衛,CF,EDA
8,7,林威廷,2B,EDA
8,8,藍少白,SS,EDA
8,8,林瑋恩,|(SS),EDA
8,9,方玄宗,3B,EDA
10,1,張建銘,RF,EDA
10,2,胡金龍,DH,EDA
10,3,高國輝,LF,EDA
10,4,林益全,1B,EDA
10,5,鄭達鴻,C,EDA
10,6,陽冠威,3B,EDA
10,6,陳凱倫,|(3B),EDA
10,7,林旺衛,CF,EDA
10,8,藍少白,SS,EDA
10,9,林威廷,2B,EDA
12,1,張建銘,RF,EDA
12,2,胡金龍,DH,EDA
12,3,高國輝,LF,EDA
12,4,林益全,1B,EDA
12,5,陽冠威,C,EDA
12,6,林旺衛,CF,EDA
12,7,鄭兆行,3B,EDA
12,7,陳凱倫,|(3B),EDA
12,7,吳宗峻,|(PH),EDA
12,7,林瑋恩,|(PR),EDA
12,8,藍少白,SS,EDA
12,9,林威廷,2B,EDA
15,1,張建銘,RF,EDA
15,2,胡金龍,DH,EDA
15,3,高國輝,LF,EDA
15,4,林益全,1B,EDA
15,5,鄭達鴻,C,EDA
15,6,林威廷,2B,EDA
15,7,林旺衛,CF,EDA
15,8,藍少白,SS,EDA
15,9,陳凱倫,3B,EDA
17,1,張建銘,RF,EDA
17,2,胡金龍,DH,EDA
17,3,高國輝,LF,EDA
17,4,林益全,1B,EDA
17,5,鄭達鴻,C,EDA
17,6,林威廷,2B,EDA
17,7,林旺衛,CF,EDA
17,8,藍少白,SS,EDA
17,9,楊承駿,3B,EDA
18,1,胡金龍,LF,EDA
