numforgame,rowforgame,rowforextra,inning,away,home,rem_type,base1,base2,base3,id,Player,direction,result,out,follow.up,special,log
1,1,1,1上,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,1上
1,2,1,1上,義大(0),(0)統一,1,NA,NA,NA,第一棒,胡金龍,內,刺殺封殺,零出局,0,,1.第一棒CF胡金龍:內野滾地球，3B接到傳向一壘刺殺打者，一出局
1,3,1,1上,義大(0),(0)統一,2,NA,NA,NA,第二棒,鄭達鴻,右,一壘安打,一出局,0,,2.第二棒LF鄭達鴻:右外野一壘安打
1,4,1,1上,義大(0),(0)統一,5,鄭達鴻,NA,NA,第三棒,李那瑞,左,接殺,一出局,0,,3.第三棒1B李那瑞:外野飛球遭到LF接殺，二出局
1,5,1,1上,義大(0),(0)統一,6,鄭達鴻,NA,NA,,,,盜壘,二出局,0,warning,盜壘成功，鄭達鴻上到二壘
1,6,1,1上,義大(0),(0)統一,9,NA,鄭達鴻,NA,第四棒,林益全,內,封殺,二出局,0,,4.第四棒DH林益全:內野滾地球，投手接到自踩一壘壘包，三出局
1,7,1,1上,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,義大(0):(0)統一
1,8,1,1下,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,1下
1,9,1,1下,義大(0),(0)統一,1,NA,NA,NA,第一棒,劉芙豪,內,接殺,零出局,0,,1.第一棒RF劉芙豪:內野平飛球遭到1B接殺，一出局
1,10,1,1下,義大(0),(0)統一,2,NA,NA,NA,第二棒,郭俊佑,,保送,一出局,0,,2.第二棒CF郭俊佑:觸身球保送
1,11,1,1下,義大(0),(0)統一,5,郭俊佑,NA,NA,第三棒,潘武雄,中,接殺,一出局,0,,3.第三棒LF潘武雄:外野飛球遭到CF接殺，二出局
1,12,1,1下,義大(0),(0)統一,6,郭俊佑,NA,NA,第四棒,鄧志偉,,三振,二出局,0,,4.第四棒DH鄧志偉:三振，三出局
1,13,1,1下,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,義大(0):(0)統一
1,14,1,2上,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,2上
1,15,1,2上,義大(0),(0)統一,1,NA,NA,NA,第五棒,鄭兆行,右,接殺,零出局,0,,1.第五棒3B鄭兆行:外野飛球遭到RF接殺，一出局
1,16,1,2上,義大(0),(0)統一,2,NA,NA,NA,第六棒,張建銘,中,接殺,一出局,0,,2.第六棒RF張建銘:外野飛球遭到CF接殺，二出局
1,17,1,2上,義大(0),(0)統一,3,NA,NA,NA,第七棒,陳凱倫,中,接殺,二出局,0,,3.第七棒2B陳凱倫:外野飛球遭到CF接殺，三出局
1,18,1,2上,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,義大(0):(0)統一
1,19,1,2下,義大(0),(0)統一,,NA,NA,NA,,,,,NA,,,2下
1,20,1,2下,義大(0),(0)統一,1,NA,NA,NA,第五棒,陳鏞基,右,接殺,零出局,2,,1.第五棒SS陳鏞基:外野飛球遭到RF接殺，一出局
1,21,1,2下,義大(0),(0)統一,2,NA,NA,NA,第六棒,高國慶,,三振,一出局,2,,2.第六棒1B高國慶:三振，二出局
1,22,1,2下,義大(0),(0)統一,3,NA,NA,NA,第七棒,黃恩賜,右,一壘安打,二出局,2,,3.第七棒3B黃恩賜:右外野一壘安打
1,23,1,2下,義大(0),(0)統一,6,黃恩賜,NA,NA,第八棒,高志綱,左,二壘安打,二出局,2,,4.第八棒C高志綱:左外野二壘安打，帶有一分打點
1,24,1,2下,義大(0),(1)統一,9,NA,高志綱,NA,,,,盜壘,二出局,1,warning,義大(0):(1)統一盜壘成功，高志綱上到三壘
1,25,1,2下,義大(0),(1)統一,12,NA,NA,高志綱,第九棒,王寶篁,右,一壘安打,二出局,1,,5.第九棒2B王寶篁:中右外野一壘安打，帶有一分打點
1,26,1,2下,義大(0),(2)統一,6,王寶篁,NA,NA,,,,盜壘失敗,二出局,0,warning,義大(0):(2)統一王寶篁盜二壘失敗，三出局
1,27,1,2下,義大(0),(2)統一,,NA,NA,NA,,,,,NA,,,6.義大(0):(2)統一
1,28,1,3上,義大(0),(2)統一,,NA,NA,NA,,,,,NA,,,3上
1,29,1,3上,義大(0),(2)統一,1,NA,NA,NA,第八棒,林琨笙,內,封殺,零出局,1,,1.第八棒C林琨笙:內野滾地球，SS接到傳向一壘，一出局
1,30,1,3上,義大(0),(2)統一,2,NA,NA,NA,第九棒,林威廷,左,二壘安打,一出局,1,,2.第九棒SS林威廷:左外野二壘安打
1,31,1,3上,義大(0),(2)統一,8,NA,林威廷,NA,第一棒,胡金龍,右,一壘安打,一出局,1,,3.第一棒CF胡金龍:右邊方向穿越一壘安打，帶有一分打點
1,32,1,3上,義大(1),(2)統一,,NA,NA,NA,,,,,NA,,,義大(1):(2)統一
