"numforgame","rowforgame","rowforextra","inning","away","home","rem_type","base1","base2","base3","id","Player","direction","result","out","follow.up","special","log"
2,16,1,"2上","兄弟(0)","(0)統一",1,NA,NA,NA,"第四棒","彭政閔","內","接殺","零出局",0,"","1.第四棒1B彭政閔:內野平飛球，遭到1B接殺，一出局"
2,39,1,"4上","兄弟(0)","(0)統一",11,NA,NA,"張志豪","第四棒","彭政閔","右","高飛犧牲打犧牲短打","一出局",1,"warning","3.第四棒彭政閔:右外野飛球形成高飛犧牲打，帶有一分打點，二出局"
2,63,1,"6上","兄弟(2)","(0)統一",2,NA,NA,NA,"第四棒","彭政閔","右","接殺","一出局",0,"","2.第四棒彭政閔:外野飛球，遭到RF接殺，二出局"
2,92,1,"8上","兄弟(2)","(0)統一",14,"羅培茲","張正偉",NA,"第四棒","彭政閔","左","接殺","一出局",0,"","4.第四棒彭政閔:外野飛球，遭到LF接殺，二出局"
4,16,1,"1下","義大(1)","(1)兄弟",3,NA,NA,NA,"第四棒","彭政閔","","保送","二出局",0,"","4.第四棒1B彭政閔:獲得四壞球保送，一壘有人"
4,41,1,"4下","義大(1)","(1)兄弟",2,NA,NA,NA,"第四棒","彭政閔","","接殺","一出局",0,"","2.第四棒1B彭政閔:二壘方向小飛球遭到接殺，二出局"
4,65,1,"7下","義大(1)","(1)兄弟",1,NA,NA,NA,"第四棒","彭政閔","內","刺殺","零出局",0,"","1.第四棒1B彭政閔:三壘方向滾地球遭到刺殺，一出局"
4,87,1,"9下","義大(1)","(1)兄弟",5,"羅培茲",NA,NA,"第四棒","彭政閔","中","中外野安打","一出局",1,"","3.第四棒1B彭政閔:中外野安打，一三壘有人"
6,22,1,"1下","義大(4)","(1)兄弟",3,NA,NA,NA,"第四棒","彭政閔","內","刺殺","二出局",0,"","4.第四棒1B彭政閔:三壘方向滾地球遭到刺殺，三出局"
6,63,1,"4下","義大(10)","(1)兄弟",2,NA,NA,NA,"第四棒","彭政閔","","三振","一出局",0,"","2.第四棒1B彭政閔:遭到三振，二出局"
6,86,1,"6下","義大(10)","(1)兄弟",1,NA,NA,NA,"第四棒","彭政閔","右","右外野安打","零出局",0,"","1.第四棒1B彭政閔:右外野安打，一壘有人"
6,117,1,"8下","義大(13)","(2)兄弟",2,NA,NA,NA,"第四棒","彭政閔","中","中外野安打","一出局",0,"","2.第四棒1B彭政閔:中外野安打，一壘有人"
8,13,1,"1下","桃猿(0)","(1)兄弟",14,"張志豪","張正偉",NA,"第四棒","彭政閔","","保送","一出局",2,"","4.第四棒1B彭政閔:獲得四壞球保送，形成滿壘"
8,36,1,"3下","桃猿(0)","(3)兄弟",8,NA,"羅培茲",NA,"第四棒","彭政閔","","三振","一出局",0,"","3.第四棒1B彭政閔:遭到三振，二出局"
8,58,1,"5下","桃猿(0)","(5)兄弟",1,NA,NA,NA,"第四棒","彭政閔","中","接殺","零出局",0,"","1.第四棒1B彭政閔:中外野飛球遭到接殺，一出局"
8,101,1,"8下","桃猿(4)","(5)兄弟",1,NA,NA,NA,"第四棒","彭政閔","內","接殺","零出局",0,"","1.第四棒1B彭政閔:二壘方向平飛球遭到接殺，一出局"
10,17,1,"2下","桃猿(1)","(0)兄弟",1,NA,NA,NA,"第四棒","彭政閔","左","接殺","零出局",0,"","1.第四棒1B彭政閔:左外野飛球遭到接殺，一出局"
10,39,1,"4下","桃猿(1)","(0)兄弟",8,NA,"羅培茲",NA,"第四棒","彭政閔","中","穿越安打穿越安打","一出局",0,"","3.第四棒1B彭政閔:中間方向穿越安打，一三壘有人"
10,75,1,"6下","桃猿(5)","(0)兄弟",5,"羅培茲",NA,NA,"第四棒","彭政閔","右","接殺","一出局",0,"","3.第四棒1B彭政閔:右外野飛球遭到接殺，二出局"
